precinct_text_name,Count
DB203,1672
DB301,37
DB302,145
DB303,1072
DB304,197
DB305,13
DB306,275
DB307,463
DB308,1273
DB309,88
DB310,983
DB312,2
DB401,57
DB402,861
DB403,1540
DB404,774
DB405,8
DB406,118
DB407,31
DB408,1414
DC Pct 001 H115 A,922
DC Pct 001 H119 B,896
DC Pct 002 H119 B,1174
DC Pct 003 H119 B,1554
DC Pct 004 H115 A,55
DC Pct 004 H119 B,2095
DC Pct 005,2622
DC Pct 006 H115 A,1566
DC Pct 006 H119 B,1192
DC Pct 007 H119 A,400
DC Pct 007 H119 B,51
DC Pct 009 H119 A,38
DC Pct 009 H119 B,98
DC Pct 012,5
De Soto 0-01,1658
De Soto 0-02,1049
De Soto 0-03,1322
De Soto 0-06,228
De Soto 0-07,306
De Soto 0-08,2
Deer Creek,66
Deer Creek - Topeka,35
Deer Creek Twp,87
Deerfield,444
Deerhead Township Prct2,11
Delaware 1,917
Delaware Township,1324
Delhi Twp,19
Delia City,97
Delmore Twp,116
Delphos City,210
Denison City,103
Denton City Precinct,98
Denton Country Precinct,108
Dexter,260
Diamond,127
Dighton City,700
Dighton Twp,160
Dixon Twnshp,128
DL03,1
DL04,2
DL10,5
Dodge Twp-3 H115 A,20
Dodge Twp-3 H119 B,50
Dodge Twp H115,355
Dodge Twp H119,72
Dodge TWP N H119,27
Dodge TWP W H119,1
Dor 110 Township,19
Dor 237 Township,2
Dor 392 Township,3
Dorrance City,106
Douglas,1284
Douglas 057,90
Douglass City/Twp,1301
Douglass Twp 32,123
Dover - Dover,572
Downs City,603
Downs Twnshp H79,79
Downs Twnshp H80,41
Doyle,43
Dresden,59
Driftwood,62
Drywood Township,319
Duck Creek TWP,37
Durham City,55
Durham Park Township,73
Durham Twp,12
DW01-01,39
E Cooper 055,35
E Hibbard Twp,66
E Sawlog,32
E St John 003,324
E Wakarusa 65 C1 S2 H42,34
E Wakarusa 65 C1 S2 H46,3
E Wakarusa 65 C2 S2 H42,19
E Wakarusa 65 C2 S3 H10,4
E Wakarusa 65 C2 S3 H42,32
E. Center,84
