precinct_part_text_name,Count
218 in USD 259-2,423
218 in USD 375-1,273
22,507
22 Ltl Muddy Crk 345-C,451
22.01 WBC 489 /111,5
22.1,1383
22.1 Hayes,157
22.2,99
221 in USD 259-2,1149
222 in USD 259-2,461
222 in USD 375-1,886
223 in USD 259-2,1039
223 in USD 385-2,742
224 in USD 259-2,2937
224 in USD 259-3,478
225,3831
226,2316
227 in USD 259-2,367
227 in USD 385-2,1144
228,2643
23 (305),1350
23 (306-36),2
23.01 BU 270/110,33
23.02 BU 489/110,502
23.03 BU 269/110,5
23.05 BU 432/110,7
23.1,800
23.1 Highland,112
23.2,39
230,157
233,894
235,572
236,1127
238,334
239,99
24,1893
24 Sac 345-C,816
24.1,1410
24.1 Mulberry,11
24.2,220
24.2 Mulberry,16
24.3,42
24.3 Mulberry,3
24.4,1
24.4 Mulberry,2
24.5,7
24.6,189
240 in USD 259-2,143
240 in USD 385-2,239
241 in USD 385-2,182
242 in USD 385-2,337
243,79
246 in USD 260,296
247,525
248 in USD 259-3,50
249 in USD 259-2,1603
25,1278
25 Sherman 345-B,38
25 Sherman 345-C,672
25.1,952
25.1 Kanorado City,90
25.1 Oakland,3
25.2,32
25.2 Oakland,44
25.3,333
250 in USD 385-2,730
251,690
252,850
257,1
26,412
26 Iroquois 345-A,970
26.01 FR 432/110,69
26.02 FR 403/110,1
26.04 FR 489/110,2
26.1,6
26.1 Republican,130
26.2,176
26.3,130
27,169
27.01 HE 399/110,11
27.02 HE 407/110,2
27.03 HE 432/110,179
27.04 HE/GFD 432/110,106
27.1,897
27.1 Sherman,9
27.2,119
27.2 Sherman,42
28,19
28 West Wichita 345-A,581
28.1,849
28.1 Union,116
28.2,406
29,203
29 Indianola 345-A,304
29 Indianola 345-B,437
29.1,961
29.2,10
29D.1,3
2Beloit 1-4,971
2Beloit 2-5 -2,305
2Beloit 3-6 - 3,6
2nd Ward,849
2nd Ward - 109 3/6 C3,521
2nd Ward/1st Prec/333/MD1/CC2,44
2nd Ward/1st Prec/333/MD2/CC2,512
2nd Ward/2nd Prec/333/MD1/CC2,96
2nd Ward/2nd Prec/333/MD2/CC2,513
2nd Wd/2nd Prec/333/MD2/CC2 Ex,4
2T/Toronto City,183
3-1-1 Hesston City - 460,1333
3-1-2 Hesston City - 460,1198
3 Pct 2 Ward,996
3 Pct 5 Ward,1273
3 Pct 6 Ward,821
3 Pct 7 Ward 453 H38,1330
3 Pct 7 Ward 453 H40,1437
3 Pct 7 Ward 469 H38,27
3 Pct 7 Ward 469 H40,479
3.1,1002
"3.1 Benton Twp, 227, C5",29
3.1 Cedar Point,12
3.1 Center Township,6
3.1 Green City,92
3.2 Ward Three,664
3.3 Center Township,10
3.4 Center Township,57
3/1 501-2,512
3/10 501-1,56
3/2 501-2,394
3/3 501-2,467
3/4 501-2,468
3/5 501-2,336
3/6 501-1,55
3/6 501-2,309
3/7 501-2,522
3/8 501-2,413
3/9 501-1,408
3/9 501-2,194
30 (305),1661
30 Apache 345-A,722
30.1,738
30.2,44
30.3,320
30.4,174
30.5,54
30.6,34
30.7,10
30.8,92
3001.2,19
3002.1,1
3003.1,3
3004.1,1
3006.1,15
3009.1,165
3009.2,39
301,994
3010.1,1007
3010.2,75
302,2090
303,1071
304,857
305,469
306,2307
307,1589
308,1832
309,168
31,34
31 East Wichita 345-A,1076
31.1,1466
31.2,23
31.3,42
310 in USD 259-3,1997
310 in USD 260,20
312,919
