Registered,Count
0.520547945205479,687
0.523287671232877,19
0.526027397260274,20
0.528767123287671,323
0.531506849315069,219
0.534246575342466,495
0.536986301369863,636
0.53972602739726,21
0.542465753424658,12
0.545205479452055,9
0.547945205479452,303
0.550684931506849,466
0.553424657534247,123
0.556164383561644,107
0.558904109589041,826
0.561643835616438,8
0.564383561643836,12
0.567123287671233,462
0.56986301369863,385
0.572602739726027,124
0.575342465753425,148
0.578082191780822,654
0.580821917808219,5
0.583561643835616,5
0.586301369863014,376
0.589041095890411,7
0.591780821917808,82
0.594520547945205,178
0.597260273972603,467
0.6,11
0.602739726027397,6
0.605479452054794,200
0.608219178082192,9
0.610958904109589,33
0.613698630136986,262
0.616438356164384,589
0.619178082191781,6
0.621917808219178,11
0.624657534246575,475
0.627397260273973,233
0.63013698630137,95
0.632876712328767,237
0.635616438356164,524
0.638356164383562,7
0.641095890410959,5
0.643835616438356,199
0.646575342465753,538
0.649315068493151,64
0.652054794520548,291
0.654794520547945,980
0.657534246575342,6
0.66027397260274,5
0.663013698630137,135
0.665753424657534,226
0.668493150684932,498
0.671232876712329,740
0.673972602739726,896
0.676712328767123,8
0.679452054794521,4
0.682191780821918,9
0.684931506849315,7
0.687671232876712,362
0.69041095890411,662
0.693150684931507,852
0.695890410958904,7
0.698630136986301,3
0.701369863013699,700
0.704109589041096,961
0.706849315068493,1083
0.70958904109589,988
0.712328767123288,895
0.715068493150685,7
0.717808219178082,8
0.720547945205479,607
0.723287671232877,428
0.726027397260274,202
0.728767123287671,8
0.731506849315068,189
0.734246575342466,13
0.736986301369863,18
0.73972602739726,198
0.742465753424657,173
0.745205479452055,554
0.747945205479452,469
0.750684931506849,47
0.753424657534247,12
0.756164383561644,8
0.758904109589041,38
0.761643835616438,48
0.764383561643836,37
0.767123287671233,36
0.76986301369863,45
0.772602739726027,4
0.775342465753425,5
0.778082191780822,27
0.780821917808219,35
0.783561643835616,32
0.786301369863014,110
0.789041095890411,57
0.791780821917808,6
0.794520547945205,6
0.797260273972603,50
0.8,54
0.802739726027397,54
0.805479452054795,2247
0.808219178082192,840
0.810958904109589,34
0.813698630136986,32
0.816438356164384,536
0.819178082191781,572
0.821917808219178,264
0.824657534246575,237
0.827397260273973,1001
0.83013698630137,15
0.832876712328767,19
0.835616438356164,449
0.838356164383562,478
0.841095890410959,169
0.843835616438356,288
0.846575342465753,786
0.849315068493151,9
0.852054794520548,10
0.854794520547945,445
0.857534246575342,438
0.86027397260274,191
0.863013698630137,161
0.865753424657534,1027
0.868493150684931,10
0.871232876712329,14
0.873972602739726,505
0.876712328767123,564
0.879452054794521,205
0.882191780821918,294
0.884931506849315,806
0.887671232876712,7
0.89041095890411,12
0.893150684931507,325
0.895890410958904,431
0.898630136986301,115
0.901369863013699,213
0.904109589041096,947
0.906849315068493,7
0.90958904109589,7
0.912328767123288,393
0.915068493150685,209
0.917808219178082,363
0.920547945205479,781
0.923287671232877,6
0.926027397260274,34
0.928767123287671,66
0.931506849315068,436
0.934246575342466,357
0.936986301369863,119
0.93972602739726,179
0.942465753424658,908
0.945205479452055,11
0.947945205479452,9
0.950684931506849,492
0.953424657534247,365
0.956164383561644,450
0.958904109589041,978
0.961643835616438,1250
0.964383561643836,18
0.967123287671233,11
0.96986301369863,944
0.972602739726027,826
0.975342465753425,485
0.978082191780822,238
0.980821917808219,430
0.983561643835616,8
0.986301369863014,10
0.989041095890411,241
0.991780821917808,216
0.994520547945206,361
0.997260273972603,91
1,439
1.0027397260274,9
1.00547945205479,12
1.00821917808219,226
1.01095890410959,151
1.01369863013699,56
1.01643835616438,112
1.01917808219178,430
1.02191780821918,4
1.02465753424658,4
1.02739726027397,198
1.03013698630137,140
1.03287671232877,69
1.03561643835616,96
1.03835616438356,395
1.04109589041096,7
1.04383561643836,5
1.04657534246575,189
1.04931506849315,234
1.05205479452055,91
1.05479452054795,757
1.05753424657534,855
1.06027397260274,15
1.06301369863014,12
1.06575342465753,396
1.06849315068493,326
1.07123287671233,186
1.07397260273973,409
1.07671232876712,635
1.07945205479452,9
1.08219178082192,5
1.08493150684932,7
1.08767123287671,169
1.09041095890411,137
1.09315068493151,233
1.0958904109589,774
1.0986301369863,11
1.1013698630137,15
1.1041095890411,358
1.10684931506849,262
1.10958904109589,141
1.11232876712329,229
1.11506849315068,576
