polling_place_text_name,Count
Mission Hills City Hall,2481
Mitchell County Fair Building,3171
Mitchell United Methodist,2288
MNU Cunningham Campus Center,3774
Moline Community Building,576
Montezuma/GY Amb Bldg,611
Montgomery Co Extension Council - Indep Twp Pct 2,325
Monticello Library,6215
Moran Senior Center,979
Morton County Courthouse,1638
Moscow Christian Fellowship Church,369
Mound Valley Community Center,1033
Msvle American Legion Post #163 Oketo,649
Msvle American Legion Post #163 Ward 1 & 2,1268
Msvle American Legion Post #163 Ward 3 & 4,1053
Msvle American Legion Post 163,658
Mt Vernon Methodist Church,2193
Mt. Carmel Church of God in Christ,2328
Mt. Zion Baptist Church,1368
Mullinville Rec Gym,256
Mulvane Christian Church,2707
Mulvane School Admin Building,1571
Munden Comm. Hall,332
Municipal Center,937
Municipal Hall ( Twp 3 East),106
Municipal Hall ( Twp 3 West),115
"Municipal Hall ( Waldron, Twp 2)",59
Municipal Hall (Anthony W1),705
Municipal Hall (Anthony W2),354
Municipal Hall (Anthony W3),173
Municipal Hall (Anthony W4),244
"Municipal Hall (Bluff, Freeport, Twp 4)",149
Murdock Methodist Church,907
Muscotah City Hall,589
N Hills Baptist Ch,1077
N Hills ES,1165
Nall Avenue Church of the Nazarene,1426
Natoma Community Center,285
Nazarene Church Gym,2040
Nemaha Co Comm Bldg - Adams,138
Nemaha Co Comm Bldg - Mitchell,256
Nemaha Co Comm Bldg - Richmond,414
Nemaha Co Comm Bldg - Seneca City Ward 1,353
Nemaha Co Comm Bldg - Seneca City Ward 2,564
Nemaha Co Comm Bldg - Seneca City Ward 3,603
Neodesha Methodist Church,1771
Neosho Rapids Community Building,748
Neosho Valley Event Center,1223
Netawaka Community Building,268
New Century Fieldhouse,6288
New City Church,3612
New Hope Ch,1037
New Hope Church of God in Christ,639
New Life Assembly of God,1422
New Life Community Church,2157
New Life Covenant Church,4243
New Life SDA Church,2246
New Story Church,3623
New Strawn Community Center,994
Nickerson Community Center,766
NLC Community Center,331
Norcatur City Hall,161
North Community Building,4648
North Newton City Building,1332
North Room 4-H Building,977
Northland Christian Ch,1497
Northridge Community Ctr,1413
Northridge Community Ctr*,460
Northside Church of Christ,3975
Oak Park Library,3641
Oak Ridge Missionary Baptist Church,4800
Oakland Comm Ctr,1835
Oakley,1624
Ogden Community Bldg,2993
Okun Fieldhouse,4012
Olathe Community Center,1141
Olathe Downtown Library,4104
Olathe Indian Creek Library,5870
Old Mission United Methodist Church,1633
Olivet Baptist Church,3464
Olivet Institutional Baptist Church,1596
