text_res_unit_nbr,Count
13411,1
13412,1
13413,1
13414,1
13415,2
13417,1
13418,2
13419,1
13420,2
13422,1
13423,1
13424,1
13425,1
13426,2
1343,2
13445,1
1345,2
1346,2
1347,2
1348,3
1349,2
135,116
1350,2
1351,2
1352,1
1353,2
1354,4
1355,1
1357,2
1358,1
1359,4
135B,1
136,122
1361,1
1362,1
1364,2
1365,3
1366,1
1367,3
1369,1
136A,1
136B,4
137,116
1375,3
137A,1
137E,1
138,97
13808,1
138B,1
139,93
139-1,1
13A,22
13A1,1
13A2,2
13A5,1
13A6,1
13B,14
13B3,1
13B4,2
13C,7
13D,8
13E,3
13F,2
13X,1
14,702
14-10,1
14-101,2
14-102,3
14-103,2
14-104,1
14-105,2
14-106,2
14-2,1
14-202,1
14-203,1
14-204,1
14-205,1
14-206,3
14-208,1
14-301,1
14-303,4
14-306,1
14-88,1
14 C,1
14 I,2
140,98
1400,9
1401,113
14014,1
1402,109
14024,1
1403,90
1404,89
1405,81
1406,81
1407,76
14075,1
1408,68
1409,58
14095,1
140B,1
141,79
1410,63
14101,8
14102,9
14103,12
14104,7
14105,9
14106,14
14107,5
14108,4
14109,4
1411,85
14110,4
14111,6
14112,3
14114,1
14115,2
14118,2
14119,2
1412,68
14122,2
14123,2
14124,1
14125,1
14127,2
14128,1
14129,2
1413,55
14130,2
14131,1
14132,2
14134,1
1414,55
1415,42
1416,39
1417,29
1418,17
1419,10
142,87
142-1,1
1420,13
14201,9
14202,8
14203,10
14204,13
14205,9
14206,10
14207,6
14208,2
14209,3
1421,31
14210,3
14211,4
14212,2
14214,2
14215,1
14218,2
14219,1
1422,39
14222,2
14225,2
14227,1
14228,1
14229,1
1423,36
1423-A,1
14230,1
14231,1
14232,2
14234,2
1424,31
1425,17
1426,18
1427,15
1428,15
1429,5
142A,1
142B,1
143,71
14301,5
14302,3
14303,2
14304,2
14305,4
14306,4
14307,3
14308,1
14309,1
1431,11
1431 C,1
14310,1
14311,1
14312,2
14313,1
14315,2
14318,1
14319,1
1432,13
14322,2
14323,2
14324,1
14325,2
14327,2
14328,1
14329,1
1433,10
14330,1
14331,1
14332,3
14334,2
1434,11
1435,7
1436,5
1437,7
1438,7
1439,1
143A,1
143D,1
143S,1
144,95
1440,2
14401,2
14403,1
14404,1
14405,2
14406,1
14407,2
14408,1
14409,1
14411,1
14412,1
14415,1
14418,1
14419,1
14422,1
14423,1
14424,1
14425,1
14427,1
14428,2
14429,2
14430,1
14431,1
14432,1
14434,1
1445,3
1446,2
1447,1
1448,2
1449,1
145,74
1450,1
1451,1
1452,1
1453,2
1454,5
1455,1
1456,1
1457,3
1458,2
146,72
1460,1
1461,2
1462,2
1463,1
1464,2
1465,1
1466,1
1467,2
1468,1
1468-28,1
147,76
1475,2
148,71
149,54
14A,21
14A1,2
14A2,3
14A5,2
14B,12
14B4,1
14B8,2
14C,6
14D,6
14E,3
14F,3
14G,2
14H,3
14I,3
14K,3
14L,1
14O,2
14P,2
15,637
15-101,1
15-102,2
15-103,2
15-104,3
15-105,2
15-106,4
15-1A,1
15-202,1
15-204,3
15-206,3
15-208,1
15-301,1
15-303,2
15-305,2
15-7B,1
15-A5,1
15 B4,1
150,62
1500,21
15001,1
15003,2
15005,1
15006,2
15007,1
15009,1
1501,98
1502,92
1503,94
1504,70
1505,69
1506,60
1507,61
1508,60
1509,30
151,70
151-1,1
1510,29
15100,1
15101,15
15102,10
15103,14
15104,9
15105,14
15106,14
15107,7
15108,6
15109,3
1511,48
15110,4
15111,5
15112,2
15113,2
15114,1
15115,2
15116,1
15117,1
15118,1
1512,43
1513,26
1514,30
1515,34
1516,35
1517,21
1518,23
1519,9
152,58
1520,10
15201,13
15202,10
15203,11
15204,9
15205,10
15206,16
15207,5
15208,3
15209,2
1521,23
15210,1
15211,2
15212,2
15213,2
15214,1
15215,1
15216,2
15217,2
15218,2
1522,27
1523,17
1524,20
1525,14
1526,15
1527,14
1528,20
1529,5
152A,4
152B,2
153,63
1530,1
15301,4
15302,2
15303,4
15304,2
15305,2
15306,4
15307,1
15308,1
1531,10
15310,2
15311,2
15312,2
15313,3
15314,1
15316,1
15317,2
15318,1
1532,6
1533,6
1534,9
1535,7
1536,3
1537,2
1538,5
1539,3
153B,1
153W,1
154,68
1540,3
15401,2
15402,1
15403,1
15404,1
15405,2
15406,1
1541,2
15411,2
15412,1
15413,1
15414,1
15415,1
15416,1
15417,2
15418,1
1542,2
1543,2
1544,2
1545,2
1546,1
1547,1
1548,2
154B,1
155,69
1550,1
1551,1
1553,1
1554,1
15552,1
1556,1
1557,1
1558,1
1559,2
155B,1
156,61
156-1,1
1565,1
1567,1
1568,1
157,44
1571,1
1573,2
1576,1
157A,1
158,42
1587,1
159,47
159B,2
159O,1
15A,28
15B,17
15B3,1
15B7,1
15C,14
15D,9
15E,2
15F,5
15G,4
15W,1
16,626
16-101,4
16-103,4
16-104,1
16-105,2
16-106,1
16-112,1
16-201,2
16-202,1
16-203,2
16-204,1
16-205,1
16-206,2
16-303,1
16-A2,1
160,60
160 / G103,1
160 A215,1
160 B,1
160 F204,1
160 G 139,1
160 G149,1
160 G236,1
160 RM G11,1
160 RM211F,1
1600,15
1601,78
1602,87
1603,77
1604,60
1605,49
1606,62
1607,37
1608,59
1609,24
161,51
1610,28
16101,8
16102,13
16103,13
16104,10
16105,11
16106,7
16107,4
16108,7
16109,4
1611,29
16110,3
1612,45
16123,1
1613,31
1614,29
1615,14
1616,18
1617,11
1618,12
1619,5
162,49
162-1,1
1620,1
16201,4
16202,9
16203,5
16204,7
16205,7
16206,7
16207,5
16208,1
16209,1
1621,20
16210,1
16211,1
1622,18
1623,22
1624,22
1625,9
1626,8
1627,6
1628,10
163,42
163-1,1
16301,1
16302,1
16305,1
16306,1
1631,3
1632,7
1633,12
1634,8
1635,6
1636,2
1637,4
1638,4
1639,2
163A,1
164,67
164-1,1
1641,1
1644,2
1645,2
1646,2
1647,1
1648,3
1649,1
165,44
165-1,1
1650,3
1653,1
1654,1
1655,1
1656,2
1657,1
1658,1
1659,1
166,44
1661,1
1662,1
1667,1
1669,3
167,49
1675,1
168,39
1684,1
169,44
16A,34
16A2,1
16B,16
16B4,2
16B7,1
16C,4
16D,6
16E,2
16F,1
16G,2
16H,2
16W,1
17,503
17-1,1
17-101,1
17-103,3
17-104,1
17-105,2
17-106,1
17-107,2
17-108,2
17-2,1
17-201,1
17-202,2
17-203,1
17-204,2
17-206,5
17-301,1
17-304,1
17-305,1
17-307,1
17-308,2
17-B,1
17 E,1
170,37
1700,8
1701,80
1702,81
1703,68
1704,70
1704 M,1
1705,46
1706,52
1707,52
1708,46
1709,36
171,36
1710,27
17101,11
17102,9
17103,8
17104,3
17105,8
17106,9
17107,6
17108,4
17109,4
1711,32
17110,2
1712,29
1713,14
1714,13
1715,13
1716,12
1716K,1
1717,8
1718,9
1719,3
172,45
1720,7
17201,6
17202,6
17203,5
17204,4
17205,3
17206,7
17207,5
17208,4
17209,3
1721,8
17211,1
1722,21
1723,10
1724,10
1725,4
1726,4
1727,7
1728,7
172B,1
173,43
17301,1
17302,1
17303,2
17304,2
17305,1
17306,1
17308,3
1731,5
1732,3
1733,3
1734,2
1735,4
1737,1
1738,1
174,46
175,43
176,38
1765,1
177,46
178,40
179,33
179B,1
17A,7
17B,18
17C,6
17D,5
17E,3
17F,1
17G,3
17H,1
17I,1
17J,2
17K,2
17L,3
17M,1
17P,3
17Q,2
17R,1
17T,2
17U,1
18,530
18-101,2
18-102,5
18-103,2
18-104,3
18-106,2
18-11,1
18-201,2
18-203,1
18-204,1
18-205,1
18-206,1
18-208,1
18-304,1
18-9,1
18 B,1
18 B5,1
180,35
1800,12
1801,70
1802,67
1803,57
1804,54
1805,36
1806,41
1807,41
1808,47
1809,16
181,46
1810,18
18101,9
18102,16
18103,9
18104,6
18105,6
18106,9
18107,8
18108,3
18109,2
1811,28
18110,1
1812,21
1813,14
1814,14
1815,12
1816,12
1817,10
1818,4
1819,4
182,45
1820,6
18201,7
18202,4
18203,9
18204,14
18205,6
18206,6
18207,4
18208,1
1821,9
1822,6
1823,8
1824,8
1826,1
1827,3
1828,1
182B,1
183,37
18302,2
18303,2
18304,2
1831,1
1832,2
1834,2
183C,1
184,45
1849,1
185,35
1850,2
186,35
187,31
188,27
189,28
189PR,1
18A,7
18B,19
18C,6
18D,5
18E,4
18F,1
18G,1
18H,1
18I,1
18J,1
18K,3
18L,2
18M,1
18N,1
18O,1
18P,1
19,443
19-101,2
19-102,2
19-103,2
19-106,3
19-201,2
19-202,1
19-203,1
19-204,3
19-205,2
19-206,3
19-302,1
19-303,1
19-306,1
19-S,1
19 B,1
190,35
1900,8
1901,59
1902,68
1903,56
1904,44
1905,50
1906,44
1907,31
1908,22
1909,19
191,33
1910,18
19101,16
19102,10
19103,11
19104,8
19105,6
19106,7
19107,5
19108,5
1911,18
19110,1
1912,18
1913,22
1914,13
1915,17
1916,13
1917,8
1917A,1
1918,6
1919,1
1919B,1
192,33
1920,2
19200,1
19201,8
19202,10
19203,7
19204,9
19205,4
19206,5
19207,1
19208,1
19209,4
1921,9
1922,6
1923,3
1924,7
1925,3
1926,4
1927,4
1928,1
193,30
19301,1
19302,2
19304,1
1931A,1
1932,2
19324,1
1933,4
1934,1
1936,1
1937,1
1938,4
194,28
195,47
1950,2
1951A,1
196,24
197,33
198,25
199,24
19A,4
19A/2,1
19B,16
19C,3
19D,5
19E,2
19F,2
19G,1
19H,6
1A,250
1A1,2
1A2,7
1A3,2
1A4,1
1A5,2
1A6,2
1B,204
1B1,1
1B3,1
1B4,1
1B5,1
1B7,3
1B8,1
1C,88
1C1,1
1C2,3
1C6,2
1D,68
1D1,18
1E,72
1F,34
1G,27
1G1,1
1H,5
1H1,3
1H2,10
1J,8
1JE,2
1JW,6
1K1,9
1L,6
1L-D9,1
1M,3
1N,9
1P,2
1Q,8
1S,8
1U,1
1W,14
2,6097
2-01,1
2-03,1
2-1,1
2-10,1
2-101,4
2-102,1
2-103,4
2-104,1
2-105,7
2-106,1
2-107,2
2-108,1
2-109,1
2-111,1
2-113,1
2-114,1
2-12,1
2-125,1
2-2,2
2-201,1
2-202,4
2-203,1
2-205,2
2-206,2
2-207,1
2-211,4
2-2110,1
2-213,1
2-219,1
2-220,1
2-222B,1
2-222C,1
2-231 C,1
2-234,1
2-3,5
2-301,3
2-302,1
2-304,4
2-305,1
2-306,4
2-307,1
2-308,2
2-320,1
2-4,1
2-410,1
2-517,1
2-608,1
2-623,1
2-8,1
2-A,2
2-A1,1
2-A2,1
2-A4,1
2-A7,1
2-B,4
2-B1,1
2-B3,1
2-B4,1
2-B6,1
2-B7,1
2-C,2
2-C6,1
2-D,1
2-E,1
2-N,1
2-R,1
2 A,1
2 APT B,1
2.3,1
2/204,1
20,420
20-1/2,1
20-101,1
20-102,1
20-104,1
20-105,2
20-106,1
20-201,2
20-202,3
20-204,1
20-205,1
20-206,1
20-207,1
20-3,1
20-302,1
20-303,2
20-305,1
20-306,2
20-308,1
20-9,1
20 101,1
20 C,1
20 D,1
200,310
200-4,1
2000,13
2000-203,1
2001,64
2002,55
2003,60
2004,52
2005,24
2006,44
2007,25
2008,32
2009,27
200A,1
200B,4
201,1810
201-A,1
201-B,1
201-C,2
2010,29
20101,7
20102,13
20103,9
20104,10
20105,5
20106,5
20107,1
20108,3
2011,28
20110,2
20111,1
20113,1
20114,1
2012,30
2013,18
2014,23
2015,18
2016,10
2017,5
2018,4
2019,3
201A,16
201B,12
201C,3
201D,2
201N,1
201R,1
201W,1
202,1737
202-12,1
2020,3
20201,4
20202,7
20203,3
20204,3
20205,3
20206,5
20207,4
20208,3
2021,8
2022,12
2023,14
2024,8
2025,3
2026,3
2027,4
2028,7
2029,2
202A,13
202B,9
202C,2
202E,1
202HH,1
202R,1
203,1544
203-1,1
203-B,2
203-C,1
203.,1
2030,3
20303,1
20304,1
20305,1
20308,1
2031,4
2032,5
20327,1
2033,2
2034,5
2035,1
2036,6
2037,1
2038,4
2039,1
203A,8
203B,11
203C,1
203D,1
203E,1
203F,1
203R,1
204,1435
204-4,1
204 A,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,2
2046,1
2047,1
204A,12
204B,10
204C,2
204E,1
204F,1
204N,3
205,1059
205-B,1
205-C,1
2050,2
2052,1
2054,1
2055,1
205A,12
205B,4
205F,1
205N,1
206,1047
206/4,1
2060,2
2063,1
2067,1
206A,13
206B,8
206D,1
206S,1
207,909
207-A,1
207-I,1
207 B,1
207 WGSP,1
207A,6
207B,13
207C,1
207D,2
207E,1
207W,1
208,856
208-D,1
2081,1
208A,8
208B,10
208D,2
208F,1
208N,1
208R,2
208S,2
208W,1
209,520
209-A,1
209 S,1
209A,5
209B,9
209S,3
209W,1
20A,12
20B,17
20C,7
20D,3
20E,4
20F,4
20G,4
20H,3
21,492
21-101,2
21-102,1
21-103,2
21-104,1
21-105,1
21-106,2
21-12,1
21-202,2
21-203,2
21-204,2
21-205,3
21-206,1
21-301,2
21-6C,1
21-A,1
210,638
210 B,1
2100,15
2101,98
2101-1,1
2101-2,2
2101-3,2
2102,99
2102A,1
2103,88
2103D,1
2104,86
2105,75
2105-1,1
2105-2,2
2105-3,2
2106,80
2107,59
2108,74
2109,33
210A,6
210B,6
210C,1
211,628
211-1,1
211-B,2
211-B15,1
211 D,1
2110,42
21101,6
21102,8
21103,8
21104,5
21105,8
21106,7
21107,5
21108,4
21109,2
2111,37
2111-2,2
21110,3
21111,1
21113,2
21115,1
21117,1
21119,2
2112,36
21121,1
21122,1
21123,1
21124,1
21125,1
21127,1
2113,20
2114,27
2114B,1
2115,16
2115-1,2
2115-2,4
2116,17
2117,13
2118,11
2119,8
211A,6
211B,5
211C,3
211E,1
212,566
212 D,1
212 W,1
2120,6
21201,7
21202,10
21203,4
21204,6
21205,5
21206,5
21207,3
21208,3
21209,1
2121,12
21210,2
21211,2
21212,1
21213,1
21215,2
21217,2
21219,1
2122,20
21220,1
21221,2
21222,1
21223,1
21224,1
21225,1
21227,2
2123,12
2124,9
2125,6
2126,5
