precinct_text_designation,Count
HN501,170
HO20002,109
HO2401,31
HPK01,78
HPT,114
HU00045,95
Hugoto2,836
Hugoto3,919
Hugoton,518
HV00001,142
HV2601,53
HV2602,10
HVH101,247
HVH114,83
HW000HW,130
HW103,20
HY00044,50
HYT,169
I101,1937
I102,1350
I103,1561
I104,1252
I105,1311
I106,571
I107,1295
I108,992
I109,1497
I201,1413
I202,1053
I203,1725
I204,2162
I205,1739
I206,683
I207,1608
I210,612
I211,1194
I301,1280
I302,2064
I303,1422
I304,942
I305,1271
I306,469
I307,1079
I308,1065
I309,1076
I310,414
I401,905
I402,1041
I403,1018
I404,743
I405,574
I406,4
I407,902
I408,722
I409,969
I410,475
I411,1117
I412,857
I413,241
IL00202,37
IL01,1530
IL30001,167
IN403,15
IN800,105
INB0000,192
INC,934
INE,78
IO50002,277
IO60002,63
IR000B,235
J101,562
J102,507
J103,200
J104,523
J201,266
J202,3
J203,677
J204,1001
J301,1217
J302,1043
J401,1228
J402,498
J403,638
JA00010,59
JA502,23
JA900,343
JAT,133
JC,63
JE,26
JE00006,355
JE00008,951
JE102,375
JEL,154
JF,281
JF00001,104
JT0MV,326
JT0MVA,79
JT0VAS,606
JV50001,160
K100001,207
K101,653
K102,1043
K130011,44
K201,1119
K202,1064
K301,1241
K302,535
K401,687
K402,782
K403,256
K404,324
KC01-01,304
KC01-02,360
KC01-03,234
KC02-01,485
KC02-02,342
KC02-03,90
KC02-04,470
KC02-05,652
KC02-06,26
KC02-07,1
KC022,350
KC03-01,933
KC03-02,942
KC03-03,176
KC03-04,667
KC03-05,51
KC04-01,843
KC04-02,363
KC04-03,594
KC04-04,986
KC05-01,999
KC05-02,469
KC05-03,459
KC05-04,532
KC05-05,517
KC06-01,626
KC06-02,264
KC07-01,555
KC07-02,459
KC07-03,618
KC07-04,943
KC07-05,218
KC07-06,1128
KC07-07,486
KC07-08,931
KC07-09,1181
KC07-10,608
KC07-11,15
KC08-01,909
KC08-02,839
KC08-03,1152
KC08-04,1118
KC09-01,173
KC09-02,873
KC09-03,1733
KC09-04,204
KC09-05,85
KC09-06,1038
KC09-07,868
KC09-08,475
KC09-09,366
KC09-10,866
KC09-11,120
KC09-12,957
KC09-13,667
KC09-14,821
KC09-15,4
KC09-16,2168
KC09-17,9
KC09-18,175
KC09-19,41
KC09-21,64
KC09-22,139
KC09-23,83
KC09-24,38
KC09-25,1124
KC10-01,889
KC10-02,850
KC10-03,65
KC10-04,619
KC10-05,985
KC10-06,341
KC10-07,243
KC104,3
KC11-01,941
KC11-02,865
KC11-03,1069
KC11-04,960
KC11-05,1132
KC11-06,762
KC11-07,637
KC11-08,1009
KC11-09,483
KC11-10,723
KC11-11,876
KC11-12,270
KC11-13,163
KC11-14,232
KC11-15,318
KC11-16,95
KC11-17,18
KC12-01,941
KC12-02,675
KC12-03,984
KC12-04,1003
KC12-05,506
KC12-06,909
KC12-07,927
KC12-08,617
KC12-09,126
KC12-10,173
KC12-11,366
KC12-12,390
KC12-13,677
KC12-14,313
KC12-15,84
KC12-16,312
KC13-01,1038
KC13-02,854
KC13-03,473
KC13-04,460
KC13-05,138
KC13-06,210
KC13-07,548
KC13-08,670
KC13-09,887
KC13-10,87
KC13-11,701
KC13-12,616
KC13-13,279
KC14-01,929
KC14-02,454
KC14-03,427
KC14-04,793
KC14-05,745
KC14-06,962
KC14-07,1190
KC14-08,899
KC14-09,505
KC14-10,1803
KC14-11,908
KC14-12,1831
KC14-13,1280
KC14-14,1996
KC14-15,864
KC14-16,485
KC14-17,936
KCT,381
KE01,2
KE02,15
KE03,1292
KE04,53
KE07,15
KE08,5
KE10,6
KE101,65
KE102,69
KE17,1
KE19,10
KE21,18
KE26,7
KE60003,28
KMQ,32
L001,709
L002,927
L003,592
L004,962
L140012,39
L1C,571
L250013,70
L2C,607
L3C,588
L4C,612
LA00076,39
LA010,59
LA203,20
LA2801,28
LA2802,26
LA90001,130
LA90002,47
LA90003,23
LAA00,36
LAD,294
LB,426
LB00003,563
LB000UV,70
LB00302,38
LB00303,38
LBL,49
LBM01,115
LC,1081
LC023,75
LC1,714
LC2,998
LC3,993
LC4,823
LC402,250
LC4MC,58
LCR,29
LE,114
